wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
900.0,1.000000000,0.129393995,0.019499000,0.001479460
901.0,1.000000000,0.129370004,0.019508099,0.001481310
902.0,1.000000000,0.129345998,0.019517900,0.001483280
903.0,1.000000000,0.129319996,0.019528300,0.001485370
904.0,1.000000000,0.129291996,0.019539300,0.001487600
905.0,1.000000000,0.129262000,0.019551201,0.001489990
906.0,1.000000000,0.129229993,0.019563800,0.001492540
907.0,1.000000000,0.129196003,0.019577401,0.001495280
908.0,1.000000000,0.129159003,0.019592101,0.001498230
909.0,1.000000000,0.129118994,0.019607900,0.001501410
910.0,1.000000000,0.129076004,0.019625001,0.001504860
911.0,1.000000000,0.129029006,0.019643500,0.001508610
912.0,1.000000000,0.128977999,0.019663800,0.001512690
913.0,1.000000000,0.128922001,0.019686000,0.001517160
914.0,1.000000000,0.128860995,0.019710300,0.001522070
915.0,1.000000000,0.128793001,0.019737300,0.001527490
916.0,1.000000000,0.128718004,0.019767100,0.001533500
917.0,1.000000000,0.128634006,0.019800499,0.001540220
918.0,1.000000000,0.128539994,0.019838000,0.001547770
919.0,1.000000000,0.128433004,0.019880399,0.001556310
920.0,1.000000000,0.128310993,0.019928800,0.001566050
921.0,1.000000000,0.128170997,0.019984599,0.001577270
922.0,1.000000000,0.128007993,0.020049499,0.001590330
923.0,1.000000000,0.127816007,0.020126101,0.001605720
924.0,1.000000000,0.127586007,0.020217801,0.001624130
925.0,1.000000000,0.127305999,0.020329500,0.001646560
926.0,1.000000000,0.126957998,0.020468600,0.001674460
927.0,1.000000000,0.126513004,0.020646701,0.001710140
928.0,1.000000000,0.125924006,0.020882800,0.001757380
929.0,1.000000000,0.125107005,0.021210900,0.001822900
930.0,1.000000000,0.123898998,0.021698300,0.001919910
931.0,1.000000000,0.121924996,0.022499699,0.002078590
932.0,1.000000000,0.118097998,0.024071800,0.002386450
933.0,1.000000000,0.107224002,0.028693600,0.003260720
934.0,1.000000000,0.169214994,0.009730070,0.000988730
935.0,1.000000000,0.175393000,0.001342600,0.000000000
936.0,1.000000000,0.145606995,0.013185300,0.000193320
937.0,1.000000000,0.139803007,0.015426700,0.000651420
938.0,1.000000000,0.137198001,0.016437501,0.000857830
939.0,1.000000000,0.135707006,0.017018000,0.000976190
940.0,1.000000000,0.134738997,0.017395699,0.001053110
941.0,1.000000000,0.134059995,0.017661300,0.001107160
942.0,1.000000000,0.134141997,0.017907901,0.001147230
943.0,1.000000000,0.136592999,0.018377900,0.001178980
944.0,1.000000000,0.138843998,0.018861299,0.001214450
945.0,1.000000000,0.141261995,0.019302201,0.001249650
946.0,1.000000000,0.142858997,0.019614400,0.001268620
947.0,1.000000000,0.144332007,0.019877100,0.001285200
948.0,1.000000000,0.145030007,0.020011401,0.001292050
949.0,1.000000000,0.145587996,0.020064199,0.001294500
950.0,1.000000000,0.146061003,0.020083699,0.001290290
951.0,1.000000000,0.146356001,0.020091301,0.001280850
952.0,1.000000000,0.146546006,0.020056900,0.001270220
953.0,1.000000000,0.146842003,0.019999599,0.001256000
954.0,1.000000000,0.146844998,0.019886401,0.001237080
955.0,1.000000000,0.146409005,0.019721299,0.001217780
956.0,1.000000000,0.145732000,0.019506801,0.001197360
957.0,1.000000000,0.145032004,0.019296300,0.001176020
958.0,1.000000000,0.144431993,0.019110300,0.001154810
959.0,1.000000000,0.143786997,0.018925000,0.001133650
960.0,1.000000000,0.143289000,0.018724000,0.001112540
961.0,1.000000000,0.142564997,0.018497501,0.001090240
962.0,1.000000000,0.141838998,0.018287901,0.001069060
963.0,1.000000000,0.140962005,0.018073700,0.001047810
964.0,1.000000000,0.140211001,0.017866200,0.001026320
965.0,1.000000000,0.139558002,0.017668201,0.001005450
966.0,1.000000000,0.138793007,0.017458400,0.000983810
967.0,1.000000000,0.138044998,0.017240399,0.000962900
968.0,1.000000000,0.137245998,0.017026599,0.000942880
969.0,1.000000000,0.136289001,0.016793100,0.000923320
970.0,1.000000000,0.135515004,0.016591299,0.000902760
971.0,1.000000000,0.134700000,0.016384600,0.000882520
972.0,1.000000000,0.133912995,0.016178001,0.000863180
973.0,1.000000000,0.133036003,0.015966900,0.000843430
974.0,1.000000000,0.132091001,0.015752500,0.000823340
975.0,1.000000000,0.130950004,0.015499800,0.000804460
976.0,1.000000000,0.130274996,0.015312200,0.000786210
977.0,1.000000000,0.129512995,0.015112400,0.000767910
978.0,1.000000000,0.128567994,0.014904400,0.000750240
979.0,1.000000000,0.127813995,0.014710900,0.000732410
980.0,1.000000000,0.126904994,0.014503200,0.000715980
981.0,1.000000000,0.126075000,0.014312500,0.000699650
982.0,1.000000000,0.125220001,0.014118300,0.000683990
983.0,1.000000000,0.124422997,0.013929800,0.000668510
984.0,1.000000000,0.123652004,0.013752500,0.000653190
985.0,1.000000000,0.122826003,0.013566000,0.000638290
986.0,1.000000000,0.121927999,0.013378200,0.000623830
987.0,1.000000000,0.121205002,0.013212700,0.000609800
988.0,1.000000000,0.120444998,0.013044200,0.000596280
989.0,1.000000000,0.119611003,0.012863600,0.000583350
